Question,Answer
"/start","Здравствуйте! Я чат-бот :) Возник вопрос по поступлению в магистратуру УрФУ? Задайте его мне, и я отвечу на него. Я знаю ответы на все популярные вопросы абитуриентов магистратуры нашего университета. Что делать, если не удается получить ответ на свой вопрос? Напишите мне слово «Помощь» и ознакомьтесь с инструкцией по работе с чат-ботом."
"Привет","Здравствуйте! Я чат-бот :) Возник вопрос по поступлению в магистратуру УрФУ? Задайте его мне, и я отвечу на него. Я знаю ответы на все популярные вопросы абитуриентов магистратуры нашего университета. Что делать, если не удается получить ответ на свой вопрос? Напишите мне слово «Помощь» и ознакомьтесь с инструкцией по работе с чат-ботом."
"Здравствуйте","Здравствуйте! Я чат-бот :) Возник вопрос по поступлению в магистратуру УрФУ? Задайте его мне, и я отвечу на него. Я знаю ответы на все популярные вопросы абитуриентов магистратуры нашего университета. Что делать, если не удается получить ответ на свой вопрос? Напишите мне слово «Помощь» и ознакомьтесь с инструкцией по работе с чат-ботом."
"Старт","Здравствуйте! Я чат-бот :) Возник вопрос по поступлению в магистратуру УрФУ? Задайте его мне, и я отвечу на него. Я знаю ответы на все популярные вопросы абитуриентов магистратуры нашего университета. Что делать, если не удается получить ответ на свой вопрос? Напишите мне слово «Помощь» и ознакомьтесь с инструкцией по работе с чат-ботом."
"Что ты умеешь?","Я чат-бот часто задаваемых вопросов абитуриентов магистратуры УрФУ. Как со мной общаться? – Отправьте мне сообщение с вопросом по поводу поступления и получите ответ. – Есть еще вопрос? Просто напишите его в новом сообщении. Я не смог вам помочь? – Перефразируйте, пожалуйста, свой вопрос. Возможно, я вас не понял. – Не помогает? Жаль, наверное, я еще не знаю ответ на ваш вопрос. Вы можете попробовать найти информацию в социальных сетях или задать свой вопрос приемной комиссии. Для этого напишите мне слово «Контакты»."
"Помощь","Я чат-бот часто задаваемых вопросов абитуриентов магистратуры УрФУ. Как со мной общаться? – Отправьте мне сообщение с вопросом по поводу поступления и получите ответ. – Есть еще вопрос? Просто напишите его в новом сообщении. Я не смог вам помочь? – Перефразируйте, пожалуйста, свой вопрос. Возможно, я вас не понял. – Не помогает? Жаль, наверное, я еще не знаю ответ на ваш вопрос. Вы можете попробовать найти информацию в социальных сетях или задать свой вопрос приемной комиссии. Для этого напишите мне слово «Контакты»."
"Справка","Я чат-бот часто задаваемых вопросов абитуриентов магистратуры УрФУ. Как со мной общаться? – Отправьте мне сообщение с вопросом по поводу поступления и получите ответ. – Есть еще вопрос? Просто напишите его в новом сообщении. Я не смог вам помочь? – Перефразируйте, пожалуйста, свой вопрос. Возможно, я вас не понял. – Не помогает? Жаль, наверное, я еще не знаю ответ на ваш вопрос. Вы можете попробовать найти информацию в социальных сетях или задать свой вопрос приемной комиссии. Для этого напишите мне слово «Контакты»."
"Инструкция","Я чат-бот часто задаваемых вопросов абитуриентов магистратуры УрФУ. Как со мной общаться? – Отправьте мне сообщение с вопросом по поводу поступления и получите ответ. – Есть еще вопрос? Просто напишите его в новом сообщении. Я не смог вам помочь? – Перефразируйте, пожалуйста, свой вопрос. Возможно, я вас не понял. – Не помогает? Жаль, наверное, я еще не знаю ответ на ваш вопрос. Вы можете попробовать найти информацию в социальных сетях или задать свой вопрос приемной комиссии. Для этого напишите мне слово «Контакты»."
"Оператор","Вы можете задать свой вопрос приемной комиссии университета в телеграм чате: t.me/MastersUrFU_bot Связаться с приемной комиссией можно любым удобным способом. Контакты приемной комиссии: magister.urfu.ru/ru/kontakty"
"Консультант","Вы можете задать свой вопрос приемной комиссии университета в телеграм чате: t.me/MastersUrFU_bot Связаться с приемной комиссией можно любым удобным способом. Контакты приемной комиссии: magister.urfu.ru/ru/kontakty"
"Чат с приемной комиссией","Вы можете задать свой вопрос приемной комиссии университета в телеграм чате: t.me/MastersUrFU_bot Связаться с приемной комиссией можно любым удобным способом. Контакты приемной комиссии: magister.urfu.ru/ru/kontakty"
"Поддержка","Вы можете задать свой вопрос приемной комиссии университета в телеграм чате: t.me/MastersUrFU_bot Связаться с приемной комиссией можно любым удобным способом. Контакты приемной комиссии: magister.urfu.ru/ru/kontakty"
"Спасибо","Спасибо за обращение :) Если появится новый вопрос, можете задать его в любое удобное время."
"Благодарю","Спасибо за обращение :) Если появится новый вопрос, можете задать его в любое удобное время."
"До свидания","Спасибо за обращение :) Если появится новый вопрос, можете задать его в любое удобное время."
"Пока","Спасибо за обращение :) Если появится новый вопрос, можете задать его в любое удобное время."
"Расписание пар у магистров","Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Обычно приезжать нужно два-три раза в неделю. Также часть курсов проходит в онлайн формате."
"Расписание занятий магистратуры","Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Обычно приезжать нужно два-три раза в неделю. Также часть курсов проходит в онлайн формате."
"В какие часы обычно проводятся занятия в магистратуре?","Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Обычно приезжать нужно два-три раза в неделю. Также часть курсов проходит в онлайн формате."
"Какое расписание у магистрантов?","Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Обычно приезжать нужно два-три раза в неделю. Также часть курсов проходит в онлайн формате."
"Сколько раз в неделю нужно приезжать в университет студентам магистратуры?","Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Обычно приезжать нужно два-три раза в неделю. Также часть курсов проходит в онлайн формате."
"В какое время учатся магистранты?","Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Обычно приезжать нужно два-три раза в неделю. Также часть курсов проходит в онлайн формате."
"Можно ли работать параллельно с учебой?","Учебу в магистратуре можно совмещать с работой. Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Также часть курсов проходит в онлайн формате. Если же вам требуется больше личного времени, можно рассмотреть программы очно-заочной или заочной магистратуры, где распределением учебной нагрузки вы будете управлять самостоятельно."
"Можно ли учиться и работать одновременно?","Учебу в магистратуре можно совмещать с работой. Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Также часть курсов проходит в онлайн формате. Если же вам требуется больше личного времени, можно рассмотреть программы очно-заочной или заочной магистратуры, где распределением учебной нагрузки вы будете управлять самостоятельно."
"Можно ли совмещать обучение в магистратуре с работой?","Учебу в магистратуре можно совмещать с работой. Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Также часть курсов проходит в онлайн формате. Если же вам требуется больше личного времени, можно рассмотреть программы очно-заочной или заочной магистратуры, где распределением учебной нагрузки вы будете управлять самостоятельно."
"Можно ли совмещать магистратуру и работу?","Учебу в магистратуре можно совмещать с работой. Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Также часть курсов проходит в онлайн формате. Если же вам требуется больше личного времени, можно рассмотреть программы очно-заочной или заочной магистратуры, где распределением учебной нагрузки вы будете управлять самостоятельно."
"Могу ли я совмещать учебу с работой?","Учебу в магистратуре можно совмещать с работой. Расписание очной магистратуры адаптировано для стандартного графика работы: занятия проводятся вечером в будни и по субботам. Также часть курсов проходит в онлайн формате. Если же вам требуется больше личного времени, можно рассмотреть программы очно-заочной или заочной магистратуры, где распределением учебной нагрузки вы будете управлять самостоятельно."
