Question,Answer
"Можно ли сомещать обучение в магистратуре с работой?","Совмещать обучение в магистратуре с работой можно. Занятия в магистратуре проводятся по вечерам и в субботу. Также часть курсов проходит в онлайн."
"Сколько раз в неделю нужно приезжать в университет студентам магистратуры?","Обычно приезжать нужно два-три раза в неделю вечером или в субботу."
"Возможно ли поступление в магистратуру на бюджет после специалитета?","Это зависит от года выдачи диплома и стандарта обучения. Если у вас приложение к диплому в часах — можете поступать на бюджет, если в зачетных единицах — то только контракт."
"Могу ли я поступить на направление магистратуры, которое никак не связано с образованием, полученным на бакалавриате?","Да, поступать можно на любое направление, для этого необходимо подать документы в приемную комиссию и успешно пройти вступительное испытание."
"Возможно ли поступление в магистратуру после заочного обучения?","Форма обучения значения не имеет. Вы можете поступать в магистратуру, если у вас имеется диплом о высшем образовании бакалавриата или специалитета."
"В правилах приема указано, что за сертификат участника олимпиады «Я-профессионал» можно будет получить 10 дополнительных баллов в качестве индивидуальных достижений. Подскажите, пожалуйста, это должен быть сертификат участника заключительного этапа? Должен ли профиль олимпиады соответствовать профилю магистратуры?","Профильность для сертификатов участника не важна. Учесть можно один сертификат на все выбранные направления."
"Здравствуйте! Скажите пожалуйста, в каком формате будет проходить вступительные испытания по прокторингу экзамус? Это будет ассинхроннный прокторинг или с наблюдающим? И еще скажите, пожалуйста, в каком формате будет тест?","Инструкция по прохождению с объяснением доступна в личном кабинете абитуриента, наблюдающие и проверка после завершения тестирования обязательны. С демо-вариантами вступительных испытаний можно ознакомиться urfu.ru/ru/applicant/docs-abiturient/demo-exams/"
"Здравствуйте, скажите, пожалуйста, могу ли я поступая в ваш вуз в магистратуру, при подаче документов предоставить не оригинал, а копию своего диплома об окончании бакалавриата?","При подаче документов вы можете представить копию. Позже, если вы будете участвовать в процедуре зачисления на бюджет, то нужно будет предоставить оригинал. Для зачисления на контракт оригинал документов не требуется."
"Зачем мне магистратура?","Магистратура поможет прокачать ваши компетенции по текущей специальности, либо откроет дорогу к совершенно новой профессии — поступить можно на любую программу. Диплом магистратуры будет полезен для кандидатов на руководящие позиции, ведь магистранты приобретают необходимые управленческие навыки и развиваются в науке. Любой из треков доступен в УрФУ: его можно выбрать в каталоге программ на этом портале"
"Магистратура и наука: два в одном?","Каждая образовательная программа магистратуры в УрФУ включает научный компонент, ведь итогом вашей учебы станет подготовка научной работы, магистерской диссертации. Однако интенсивность научной работы везде разная: у нас открыты как прикладные направления, где больше внимания уделяют взаимодействию с работодателями, так и полностью исследовательские"
